comparison_id,comparison_name,gene_set,gene_name
covid_europe_covid_19_control,COVID-Austria,Differential alternative splicing,SF3B3
covid_europe_covid_19_control,COVID-Austria,Upregulated genes,MIR200B
covid_europe_covid_19_control,COVID-Austria,Downregulated genes,ERRFI1
covid_europe_covid_19_control,COVID-Austria,Differential exon usage,PLOD2
covid_europe_covid_19_control,COVID-Austria,Differential transcript expression,PAPSS2
covid_europe_covid_19_control,COVID-Austria,Differential intron excision,MGRN1
covid_europe_covid_19_control,COVID-Austria,Differential alternative splicing,PDXDC2P-NPIPB14P
covid_europe_covid_19_control,COVID-Austria,Upregulated genes,TNFRSF18
covid_europe_covid_19_control,COVID-Austria,Downregulated genes,SPSB1
covid_europe_covid_19_control,COVID-Austria,Differential exon usage,PTGFRN
covid_europe_covid_19_control,COVID-Austria,Differential transcript expression,NEDD9
covid_europe_covid_19_control,COVID-Austria,Differential intron excision,RBM12
covid_europe_covid_19_control,COVID-Austria,Differential alternative splicing,PLA2G4C
covid_europe_covid_19_control,COVID-Austria,Upregulated genes,TNFRSF4
covid_europe_covid_19_control,COVID-Austria,Downregulated genes,TARDBP
covid_europe_covid_19_control,COVID-Austria,Differential exon usage,PRRC2B
covid_europe_covid_19_control,COVID-Austria,Differential transcript expression,GSDMD
covid_europe_covid_19_control,COVID-Austria,Differential intron excision,SFTPB
covid_europe_covid_19_control,COVID-Austria,Differential alternative splicing,PEAK1
covid_europe_covid_19_control,COVID-Austria,Upregulated genes,SDF4
covid_europe_covid_19_control,COVID-Austria,Downregulated genes,ANGPTL7
covid_europe_covid_19_control,COVID-Austria,Differential exon usage,ANGPTL2
covid_europe_covid_19_control,COVID-Austria,Differential transcript expression,TMBIM1
covid_europe_covid_19_control,COVID-Austria,Differential intron excision,DDR1
covid_europe_covid_19_control,COVID-Austria,Differential alternative splicing,HERC1
covid_europe_covid_19_control,COVID-Austria,Upregulated genes,B3GALT6
covid_europe_covid_19_control,COVID-Austria,Downregulated genes,VPS13D
covid_europe_covid_19_control,COVID-Austria,Differential exon usage,EDNRA
covid_europe_covid_19_control,COVID-Austria,Differential transcript expression,TNS2
covid_europe_covid_19_control,COVID-Austria,Differential intron excision,TEAD2
covid_europe_covid_19_control,COVID-Austria,Differential alternative splicing,UBA52
covid_europe_covid_19_control,COVID-Austria,Upregulated genes,C1QTNF12
covid_europe_covid_19_control,COVID-Austria,Downregulated genes,RNU6ATAC18P
covid_europe_covid_19_control,COVID-Austria,Differential exon usage,SFRP4
covid_europe_covid_19_control,COVID-Austria,Differential transcript expression,FTH1
covid_europe_covid_19_control,COVID-Austria,Differential intron excision,KIAA0040
covid_europe_covid_19_control,COVID-Austria,Differential alternative splicing,RNF216
covid_europe_covid_19_control,COVID-Austria,Upregulated genes,AL162741.1
covid_europe_covid_19_control,COVID-Austria,Downregulated genes,PDPN
