comparison_id,comparison_name,gene_set,gene_name
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Upregulated genes,AL645608.7
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Downregulated genes,MIR200A
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential exon usage,ATF3
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential transcript expression,FAP
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential intron excision,GCA
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential alternative splicing,BAIAP2L2
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Upregulated genes,HES4
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Downregulated genes,SCNN1D
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential exon usage,HLA-B
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential transcript expression,IFNL3
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential intron excision,CXCL11
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential alternative splicing,RBM39
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Upregulated genes,ISG15
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Downregulated genes,ATAD3C
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential exon usage,ACTB
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential transcript expression,PARP6
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential intron excision,SPATS2L
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential alternative splicing,SNRNP70
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Upregulated genes,AL390719.3
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Downregulated genes,MMP23A
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential exon usage,KRT17
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential transcript expression,TRAF1
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential intron excision,PMAIP1
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential alternative splicing,HDAC5
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Upregulated genes,MXRA8
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Downregulated genes,AL513477.1
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential exon usage,DBNL
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential transcript expression,TRABD
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential intron excision,TNIP1
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential alternative splicing,DHX58
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Upregulated genes,TNFRSF9
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Downregulated genes,PLCH2
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential exon usage,VEGFA
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential transcript expression,ZBTB21
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential intron excision,PPP1R15A
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential alternative splicing,GSDMB
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Upregulated genes,SPSB1
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Downregulated genes,TTC34
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential exon usage,KRT19
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential transcript expression,TIPARP
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential intron excision,ARNTL2
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential alternative splicing,RALGAPB
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Upregulated genes,SRM
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Downregulated genes,AL365330.1
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential exon usage,SQSTM1
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h,Differential transcript expression,MUC3A
